id,text,Bored,Angry,Sad,Fear,Happy,Excited,negative,neutral,positive
593891099434983425,KirkKus: Indirect cost of the UK being in the EU is estimated to be costing Britain £170 billion per year! BetterOffOut UKIP,0.0977387069,0.3918397287,0.1401817841,0.174987356,0.0911456238,0.1041068006,0.509,0.25,0.241
593891099548094465,VIDEO: Sturgeon on post-election deals ,0.0346608964,0.0995220897,0.0369856124,0.1622810618,0.25726001530000003,0.4092903245,0.009000000000000001,0.396,0.595
593891099388846080,LabourEoin: The economy was growing 3 times faster on the day David Cameron became Prime Minister than it is today.. BBCqt ,0.1017900132,0.1934540664,0.237603912,0.2478101555,0.0945298716,0.1248119813,0.534,0.295,0.172
593891100429045760,GregLauder: the UKIP east lothian candidate looks about 16 and still has an msn addy ,0.1073344285,0.0918445328,0.1504216316,0.3203837993,0.1229262488,0.207089359,0.4970000000000001,0.341,0.162
593891100768784384,thesundaypeople: UKIP's housing spokesman rakes in £800k in housing benefit from migrants.   ,0.0420569688,0.1126211132,0.0616178235,0.1319758378,0.29272355440000003,0.3590047023,0.027000000000000003,0.32,0.654
593891100982546432,Nigel_Farage: Make sure you tune in to AskNigelFarage tonight on BBC 1 at 22:50! UKIP ,0.0378224421,0.1732920027,0.005212726500000001,0.0916879797,0.2773137544,0.4146710946,0.022000000000000002,0.147,0.831
593891101154619392,joannetallis: Ed Milliband is an embarrassment. Would you want him representing the UK?!  bbcqt vote Conservatives,0.0,0.1669107113,0.08421487429999999,0.2293044758,0.27309142940000003,0.2464785092000001,0.345,0.483,0.172
593891101452476416,"abstex: The FT is backing the Tories. On an unrelated note, here's a photo of FT leader writer Jonathan Ford (next to Boris) ",0.0,0.1022097261,0.1013150744,0.2068711053,0.2831216006,0.3064824936,0.107,0.451,0.442
593891101838340096,NivenJ1: “George_Osborne: Ed Miliband proved tonight why he's not up to the job” Tbf you've spent 5 years doing that you salivating do,0.3344125444,0.180163923,0.08889030310000001,0.1342614791,0.1251958068,0.1370759436,0.45,0.465,0.085
593891101313896449,LOLZ to Trickle Down Wealth. It's never trickling past their own wallets. Greed always wins $$$ for the greedy.  ,0.0733228995,0.1636446384,0.0882787205,0.13595971810000002,0.2095328517,0.3292611718,0.7040000000000001,0.188,0.10800000000000001
593891101766918144,SNP leader faces audience questions ,0.0879634989,0.16295313109999998,0.1627670694,0.2261096631,0.13670378449999998,0.223502853,0.062,0.388,0.55
593891101959917568,"cononeilluk: Cameron ""Ed Milliband hanging out with Russell Brand. He is a joke. This is an election. This is about real people' http:/",0.0447149012,0.2160242594,0.31525560350000004,0.2216311173,0.0995531544,0.1028209643,0.78,0.17800000000000002,0.042
593891102257713152,politicshome: Ed Miliband: Last Labour government did not overspend  ,0.1173517562,0.2814591681,0.28703006870000003,0.1898558364,0.0472671298,0.0770360408,0.706,0.254,0.04
593891102480007169,"If Miliband is refusing to do any deal with the SNP, how does he plan on forming a government?",0.1112836871,0.4715239092,0.2037704487,0.1491127817,0.0208386859,0.0434704874,0.828,0.163,0.009000000000000001
593891103100776448,scotnotbritt: Well thats it. LABOUR would rather have a TORY government rather than work with the SNP. ,0.0945979573,0.2276184321,0.2832525416,0.2257071337,0.0695197888,0.0993041465,0.706,0.215,0.079
593891103184551936,Cameron wins last TV contest of election campaign - poll: LONDON (Reuters) - Prime Minister David Cameron won the ,0.0672881201,0.1631076929,0.1149117924,0.1495428133,0.1909904926,0.3141590886,0.049,0.23800000000000002,0.713
593891102836563969,"stephen501: dunleavy138 CrillyBobc theSNP UKLabour I would be happy to do a deal with the SNP, but Ed_Miliband was clear. If you w",0.0910423782,0.1552081646,0.1228516904,0.1614680869,0.2184715658,0.2509581141,0.07200000000000001,0.5579999999999999,0.37
593891102895296512,"How dare EdMiliband_MP force Socialists to chose between the English LP and the SNP! The SNP are the last, true Socialist party in the UK",0.0449782369,0.5186878153,0.1474275802,0.1207070925,0.058153442,0.1100458331,0.69,0.213,0.09699999999999999
593891103272665088,Watch: Ed Miliband trips off the stage following Question Time leaders special ,0.0567305461,0.0702807919,0.0821240325,0.2078424872,0.2873239115,0.2956982308,0.063,0.448,0.489
593891104870813699,B0MBSKARE the anti-Scottish feeling is largely a product of Tory press scaremongering. In practice most people won't give a toss!,0.0571158961,0.3281564726,0.0976218693,0.1160978638,0.13175818109999998,0.2692497171,0.499,0.243,0.257
